Date	Blocks
2017-01-30	938.0
2017-01-31	956.0
2017-02-01	977.0
2017-02-02	966.0
2017-02-03	982.0
2017-02-04	970.0
2017-02-05	992.0
2017-02-06	1033.0
2017-02-07	1002.0
2017-02-08	1053.0
2017-02-09	950.0
2017-02-10	966.0
2017-02-11	1000.0
2017-02-12	1079.0
2017-02-13	964.0
2017-02-14	906.0
2017-02-15	946.0
2017-02-16	948.0
2017-02-17	971.0
2017-02-18	1006.0
2017-02-19	945.0
2017-02-20	931.0
2017-02-21	928.0
2017-02-22	941.0
2017-02-23	879.0
2017-02-24	971.0
2017-02-25	1131.0
2017-02-26	938.0
2017-02-27	891.0
2017-02-28	992.0
2017-03-01	859.0
2017-03-02	875.0
2017-03-03	934.0
2017-03-04	940.0
2017-03-05	907.0
2017-03-06	993.0
2017-03-07	874.0
2017-03-08	906.0
2017-03-09	965.0
2017-03-10	1209.0
2017-03-11	862.0
2017-03-12	1086.0
2017-03-13	779.0
2017-03-14	1080.0
2017-03-15	825.0
2017-03-16	1127.0
2017-03-17	995.0
2017-03-18	871.0
2017-03-19	979.0
2017-03-20	964.0
2017-03-21	838.0
2017-03-22	1065.0
2017-03-23	800.0
2017-03-24	906.0
2017-03-25	1001.0
2017-03-26	905.0
2017-03-27	1048.0
2017-03-28	999.0
2017-03-29	1054.0
2017-03-30	719.0
2017-03-31	964.0
2017-04-01	999.0
2017-04-02	1043.0
2017-04-03	861.0
2017-04-04	953.0
2017-04-05	1125.0
2017-04-06	908.0
2017-04-07	966.0
2017-04-08	937.0
2017-04-09	917.0
2017-04-10	1076.0
2017-04-11	865.0
2017-04-12	980.0
2017-04-13	953.0
2017-04-14	894.0
2017-04-15	978.0
2017-04-16	916.0
2017-04-17	971.0
2017-04-18	949.0
2017-04-19	1007.0
2017-04-20	887.0
2017-04-21	970.0
2017-04-22	943.0
2017-04-23	957.0
2017-04-24	952.0
2017-04-25	955.0
2017-04-26	953.0
2017-04-27	932.0
2017-04-28	974.0
2017-04-29	966.0
2017-04-30	915.0
2017-05-01	928.0
2017-05-02	980.0
2017-05-03	922.0
2017-05-04	1017.0
2017-05-05	906.0
2017-05-06	972.0
2017-05-07	917.0
2017-05-08	966.0
2017-05-09	880.0
2017-05-10	993.0
2017-05-11	981.0
2017-05-12	938.0
2017-05-13	881.0
2017-05-14	924.0
2017-05-15	1006.0
2017-05-16	993.0
2017-05-17	940.0
2017-05-18	842.0
2017-05-19	929.0
2017-05-20	1090.0
2017-05-21	862.0
2017-05-22	1054.0
2017-05-23	1031.0
2017-05-24	907.0
2017-05-25	930.0
2017-05-26	984.0
2017-05-27	959.0
2017-05-28	938.0
2017-05-29	1069.0
2017-05-30	847.0
2017-05-31	976.0
2017-06-01	931.0
2017-06-02	1010.0
2017-06-03	1064.0
2017-06-04	922.0
2017-06-05	938.0
2017-06-06	997.0
2017-06-07	936.0
2017-06-08	976.0
2017-06-09	938.0
2017-06-10	920.0
2017-06-11	948.0
2017-06-12	996.0
2017-06-13	939.0
2017-06-14	907.0
2017-06-15	978.0
2017-06-16	982.0
2017-06-17	886.0
2017-06-18	883.0
2017-06-19	981.0
2017-06-20	970.0
2017-06-21	915.0
2017-06-22	937.0
2017-06-23	937.0
2017-06-24	899.0
2017-06-25	950.0
2017-06-26	1001.0
2017-06-27	940.0
2017-06-28	938.0
2017-06-29	977.0
2017-06-30	947.0
2017-07-01	927.0
2017-07-02	999.0
2017-07-03	890.0
2017-07-04	1010.0
2017-07-05	851.0
2017-07-06	1063.0
2017-07-07	940.0
2017-07-08	912.0
2017-07-09	932.0
2017-07-10	912.0
2017-07-11	1027.0
2017-07-12	1006.0
2017-07-13	920.0
2017-07-14	1021.0
2017-07-15	867.0
2017-07-16	1020.0
2017-07-17	952.0
2017-07-18	932.0
2017-07-19	973.0
2017-07-20	986.0
2017-07-21	959.0
2017-07-22	918.0
2017-07-23	966.0
2017-07-24	963.0
2017-07-25	965.0
2017-07-26	1043.0
2017-07-27	941.0
2017-07-28	958.0
2017-07-29	1011.0
2017-07-30	878.0
2017-07-31	827.0
